x,y,shape label
-24.71629143,-35.82385635,9
-25.23651123,-35.48722458,9
-25.59618568,-35.23692322,9
-18.2865448,-34.86516571,9
-17.80807495,-35.58831406,9
-18.25795555,-34.76018143,9
-3.767293453,-38.62865067,9
-4.144359589,-38.55199432,9
-25.45214844,-29.17332077,9
-18.54683304,-32.8880043,9
-19.48970413,-30.95565605,9
-18.40761185,-30.88325119,9
-18.20329285,-30.72247505,9
-15.41158104,-26.94367409,9
-20.93497276,-16.67785072,9
-38.35736847,-17.47960663,9
38.56673812866211,-39.4145813,1
4.022390365600586,-37.48326111,6
5.658071994781494,-36.52271271,6
4.074209213256836,-37.88414001,6
4.593906879425049,-37.71403503,6
6.644461154937744,-38.9195137,6
7.0810041427612305,-39.02804565,6
-13.32997227,-30.33859253,9
-14.72128963,-34.1272583,9
-10.26289749,-24.40460014,9
4.208146095275879,-35.12455368,6
-31.00282478,-34.3535614,9
0.5872595310211182,-41.26496887,6
-32.21836853,-29.60479927,9
-32.72481537,-29.58509827,9
-24.43367386,-30.69514275,9
-24.84251213,-30.27600288,9
-24.23184204,-31.01491356,9
-23.46851349,-31.86166954,9
-32.21346664,-28.97242355,9
-32.60974121,-28.27740097,9
-15.33493328,-30.53822327,9
-15.51365471,-30.03623962,9
-12.48797131,-34.75915527,9
-12.41596317,-34.79508591,9
-4.724131107,-19.48707581,9
-35.1931839,-26.91917038,9
24.932003021240234,-28.94774437,1
20.82296371459961,-28.72222519,1
-4.70566988,-19.128479,9
-33.10575104,-29.83014488,9
-25.52650642,-32.0159111,9
-59.54895401,-16.20906067,9
-27.06832504,-37.44029617,9
-15.03074169,-22.29918861,9
-8.751238823,-27.19369507,9
-3.308359385,-20.19757652,9
-3.017715931,-39.74280167,6
28.30168914794922,-34.10807419,5
-4.972380638,-31.11519241,9
-4.06615448,-28.81015396,9
-3.742922306,-30.16651726,1
-3.949169874,-29.55910301,9
-3.403363705,-28.47281647,1
-39.15461731,6.56402587890625,9
-17.16606331,10.937102317810059,9
-29.66354942,34.880516052246094,9
-4.266929626,39.46883773803711,10
0.7207112908363342,41.376495361328125,0
13.779179573059082,18.933828353881836,10
-21.47604179,7.763455867767334,9
-27.78174782,-36.29192734,9
-27.82667351,-35.88007736,9
-28.60861778,-36.30910492,9
-60.61145401,-14.7388134,9
-60.58694077,-14.36857033,9
-35.40825653,29.323972702026367,9
-12.93940639,49.90274429321289,9
-55.4760704,15.563136100769043,9
-11.41689301,47.72467803955078,9
-36.88100052,0.6795008778572083,9
-15.5377903,21.701759338378906,9
-42.29349899,23.68688201904297,9
-21.05247498,25.195362091064453,9
16.18345832824707,25.68532943725586,0
-10.35569763,-1.371709824,9
32.22023010253906,-22.856987,10
21.324970245361328,23.154621124267578,10
14.03279972076416,36.946659088134766,0
-24.20478249,20.760541915893555,9
41.37590026855469,-34.85021973,1
35.12223815917969,-30.58599472,1
46.10851287841797,-23.80688858,1
33.737709045410156,-30.18991852,1
44.50234603881836,-24.69634438,1
-65.08647919,-4.997549534,9
-65.39902496,-5.059158802,9
-51.96467972,15.866965293884277,9
-55.67038727,13.23655891418457,9
-26.95139885,22.978845596313477,9
-11.16250992,-4.494791508,9
-12.38536549,-5.398262501,9
-12.70963669,-5.768239498,9
-2.88458848,46.81864929199219,0
-2.908195972,46.83755874633789,0
46.503639221191406,6.412013053894043,0
1.848591685295105,33.78102493286133,9
-11.22111225,22.245891571044922,9
1.254835605621338,53.729454040527344,0
9.074309349060059,52.514747619628906,0
-10.44782257,-37.1786232,10
-22.48834419,3.483915090560913,9
-18.7137661,8.171038627624512,9
-12.2101965,-21.680439,9
36.21410369873047,-17.29952431,1
33.21208190917969,-16.81758881,1
-15.33755589,12.338953018188477,9
-25.23257637,-18.82247162,9
-26.21459389,-18.38598251,9
-5.055228233,43.229278564453125,0
