H,37953
C,20480
O,3578
O-,1047
Cl,903
N,780
Cl-,772
S,670
S-,479
I-,461
Cu,382
Br-,371
F,348
Cu+,310
Cs+,246
H+,228
Si,196
Se-,185
P,171
Se,166
I,158
Br,152
C+,131
Sn,110
Zn+,106
In+,103
Ag+,100
Ni+,99
Cs,99
P-,98
Na,98
Sn+,93
N+,90
Fe+,83
Na+,79
Pd,78
Pb+,74
Pb,68
Zn,64
Bi+,62
F-,60
In,58
Sb+,54
Rb+,52
La+,51
Cd+,48
Co+,48
Ag,48
K+,47
Co,46
Te-,45
Fe,44
Te,41
Mn,41
Ni,40
Bi,40
Cd,40
Tl+,38
Rb,34
N-,34
Ge+,30
Hg+,28
W+,27
Eu+,25
Au,25
Tb+,25
H-,24
V+,23
Yb,22
K,22
La,21
Er+,21
Mn+,20
P+,20
C.+,20
Sb,20
Gd+,20
Ce+,19
Ge,19
As-,19
Dy+,18
Y+,18
Sm+,18
Ta+,16
Cr+,16
Ho+,16
Tm+,16
B,15
Ga,15
Li,14
Pd+,14
Al,14
Al+,14
Ce,13
Hg,13
Eu,13
Gd,13
Rh,13
Tb,12
Nb+,12
Se+,12
Ni.+,12
C-,12
S+,12
Pt,10
Ga+,10
Er,10
Cr,10
Co.+,9
Mo+,8
Ti,8
Mg,8
Au+,8
Zr+,8
Ti+,7
Zr,7
Ru,7
Si+,7
Nd,7
V,6
As,6
Mg+,6
Sm,6
Eu.+,6
Dy,5
Li+,5
Y,5
Ta,5
Hf+,5
Te+,4
Sb.+,4
I+,4
Ba+,4
Ru+,4
Ho,4
Pt.-,3
Pr,3
Sb-,3
Mo,3
Yb+,3
W,2
Nd+,2
Ca+,2
Ca,2
Nb,2
Pt-,2
Tl,2
B+,2
Tm,1
Sr,1
Pr+,1
Ba,1
Pt+,1
Sr+,1
