ID,Temperature1,Temperature2,Speed,Time,Num,Y1,Y2,Y3,T1,T2,A1,B1,C1,D1,E1,F1,G1,H1,I1,J1,K1,L1,M1,A2,B2,C2,D2,E2,F2,G2,H2,I2,J2,K2,L2,M2
1,140,140,0,5,1195,4.87,6.49,9,1,PbSe,5,5,46.875,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
2,180,180,0,5,306,22.47,17.38,8,1,PbSe,5,5,46.875,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
3,200,200,0,5,307,31.03,15.64,8,1,PbSe,5,5,46.875,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
4,220,220,0,5,2150,19.88,23.39,9,1,PbSe,5,5,46.875,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
5,140,140,0,7,2916,5.8,6.03,9,1,PbSe,5,5,46.875,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
6,140,140,0,10,426,9.07,15.73,9,1,PbSe,5,5,46.875,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
7,140,140,0,15,3129,5.55,7.01,9,1,PbSe,5,5,46.875,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
8,140,140,0,20,1145,5.3,6.2,9,1,PbSe,5,5,46.875,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
9,140,140,0,10,2667,6.57,5.38,9,1,PbSe,1,1,24.26875,1.003,1.121,0.19,4.411,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,DPP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
10,160,160,0,5,1232,6.41,6.25,9,1,PbSe,5,5,120.3125,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
11,160,160,0,10,2239,8,6.99,9,1,PbSe,1,1,24.26875,1.003,1.121,0.19,4.411,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,DPP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
12,180,180,0,5,10131,7.42,5.54,9,1,PbSe,5,5,120.3125,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
13,200,200,0,5,3659,7.61,10.3,9,1,PbSe,5,5,120.3125,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
14,220,220,0,5,4976,9.13,17.62,9,1,PbSe,5,5,120.3125,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
15,240,240,0,5,5764,14.41,12,1,1,PbSe,5,5,120.3125,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
16,180,180,0,10,2159,7.97,5.39,9,1,PbSe,1,1,24.26875,1.003,1.121,0.19,4.411,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,DPP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
17,200,200,0,10,2496,10.2,7.92,9,1,PbSe,1,1,24.26875,1.003,1.121,0.19,4.411,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,DPP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
18,240,240,0,2,1851,10.56,17.12,9,1,PbSe,5,5,120.3125,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
19,240,240,0,10,3610,16.17,15.68,1,1,PbSe,5,5,120.3125,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
20,240,240,0,20,1510,16.96,15.82,1,1,PbSe,5,5,120.3125,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
