ID,Temperature1,Temperature2,Speed,Time,Num,Y1,Y2,Y3,T1,T2,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2,I1,I2,J1,J2,K1,K2,L1,L2,M1,M2
5000,111,99,0,486,-1,-1,-1,11,1,PlaceHolder,186.4,TPPe,67.7,ODOH,258.7,TBAC,464.4,GBL,192.1,NH2OH,202.8,DEA,189.3,OCEA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5001,136,72,0,39,-1,-1,-1,11,1,PlaceHolder,19.6,HDA-HI,301.8,BMIM-Tf2N,269.6,H2O,277,HD,290.9,DDE,487.5,HDA-HCl,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5002,162,113,0,276,-1,-1,-1,11,1,PlaceHolder,454.8,t-DT,178,HD,55.8,TDPA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5003,88,136,6,58,-1,-1,-1,11,1,PlaceHolder,161.2,TFA,89.3,CHCl3,178.5,HDAC,264.4,NVP,308.4,SDS,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5004,152,152,0,451,-1,-1,-1,11,1,PlaceHolder,457.8,OLA-HBr,79,DMSO,187.4,BBA,107.1,ODE,348.2,NA_,408.6,BLAM,207.4,TBAB,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5005,169,142,0,414,-1,-1,-1,11,1,PlaceHolder,371,HS,103,NLA,98.2,TOPO,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5006,90,132,13,134,-1,-1,-1,11,1,PlaceHolder,68.6,CYH,400.8,Na-LAA,124.2,TPP,64.7,HD,105.4,TDPA,378,DPP,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5007,179,78,0,103,-1,-1,-1,11,1,PlaceHolder,280.3,OCEA,0.9,TBPT,296.6,TEG,10.6,OLA-HI,163.5,TBOH,455.8,TA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5008,107,124,8,194,-1,-1,-1,11,1,PlaceHolder,206.6,HDE,347.5,HMDS,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5009,165,26,0,245,-1,-1,-1,11,1,PlaceHolder,159.8,ODPIA,255.5,BBA,125,NH4Ac,241.3,(TMS)3Si,250.5,DHPA,209.5,HEOH,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
