ID,Temperature1,Temperature2,Speed,Time,T1,T2,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2,I1,I2,J1,J2,Y1,Y2,Y3,Num,scaleplate
1,140,140,0,5,1,PbSe,5,PbO,5,Se,46.875,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,4.87,6.49,sphere,1195,0.165011459
2,180,180,0,5,1,PbSe,5,PbO,5,Se,46.875,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,22.47,17.38,six-pointed star,306,0.260416667
3,200,200,0,5,1,PbSe,5,PbO,5,Se,46.875,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,31.03,15.64,six-pointed star,307,0.643703077
4,220,220,0,5,1,PbSe,5,PbO,5,Se,46.875,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,19.88,23.39,sphere,2150,0.431034483
5,140,140,0,7,1,PbSe,5,PbO,5,Se,46.875,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,5.8,6.03,sphere,2916,0.173611111
6,140,140,0,10,1,PbSe,5,PbO,5,Se,46.875,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,9.07,15.73,sphere,426,0.260416667
7,140,140,0,15,1,PbSe,5,PbO,5,Se,46.875,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,5.55,7.01,sphere,3129,0.215517241
8,140,140,0,20,1,PbSe,5,PbO,5,Se,46.875,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,5.3,6.2,sphere,1145,0.12987013
9,140,140,0,10,1,PbSe,1,PbO,1,Se,24.26875,ODE,1.003,OLA,1.121,TOP,0.19,DPP,4.411,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,6.57,5.38,sphere,2667,0.173010381
10,160,160,0,5,1,PbSe,5,PbO,5,Se,120.3125,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,6.41,6.25,sphere,1232,0.12987013
11,160,160,0,10,1,PbSe,1,PbO,1,Se,24.26875,ODE,1.003,OLA,1.121,TOP,0.19,DPP,4.411,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,8,6.99,sphere,2239,0.173010381
12,180,180,0,5,1,PbSe,5,PbO,5,Se,120.3125,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,7.42,5.54,sphere,10131,0.260416667
13,200,200,0,5,1,PbSe,5,PbO,5,Se,120.3125,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,7.61,10.3,sphere,3659,0.260416667
14,220,220,0,5,1,PbSe,5,PbO,5,Se,120.3125,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,9.13,17.62,sphere,4976,0.216450216
15,240,240,0,5,1,PbSe,5,PbO,5,Se,120.3125,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,14.41,12,cube,5764,0.431034483
16,180,180,0,10,1,PbSe,1,PbO,1,Se,24.26875,ODE,1.003,OLA,1.121,TOP,0.19,DPP,4.411,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,7.97,5.39,sphere,2159,0.216450216
17,200,200,0,10,1,PbSe,1,PbO,1,Se,24.26875,ODE,1.003,OLA,1.121,TOP,0.19,DPP,4.411,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,10.2,7.92,sphere,2496,0.429184549
18,240,240,0,2,1,PbSe,5,PbO,5,Se,120.3125,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,10.56,17.12,sphere,1851,0.216450216
19,240,240,0,10,1,PbSe,5,PbO,5,Se,120.3125,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,16.17,15.68,cube,3610,0.429184549
20,240,240,0,20,1,PbSe,5,PbO,5,Se,120.3125,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,16.96,15.82,cube,1510,0.337582985
21,240,240,0,60,1,PbSe,5,PbO,5,Se,120.3125,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,18.66,6.72,cube,2162,0.429184549
22,240,240,0,8,1,PbSe,3,PbO,3,Se,72.8125,ODE,3.039,OLA,3.363,TOP,0.575,DPP,13.234,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,9.92,14.19,sphere,597,0.215517241
23,240,240,0,90,1,PbSe,5,PbO,5,Se,120.3125,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,26.14,10.71,cube,3056,0.510204082
24,240,240,0,120,1,PbSe,5,PbO,5,Se,120.3125,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,22.37,7.47,cube,3518,0.510204082
25,240,240,0,150,1,PbSe,5,PbO,5,Se,120.3125,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,24.98,7.96,cube,5012,0.510204082
26,240,240,0,180,1,PbSe,5,PbO,5,Se,120.3125,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,25.6,8.77,cube,2936,0.510204082
27,160,160,0,5,1,PbSe,5,PbO,5,Se,46.875,ODE,5.015,OLA,5.605,TOP,27.791,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,7.23,6.21,sphere,4558,0.215517241
28,160,160,0,5,1,PbSe,5,PbO,5,Se,46.875,ODE,5.015,OLA,5.605,TOP,38.882,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,14.72,11.67,rhombus,1608,0.85106383
29,160,160,0,2,1,PbSe,5,PbO,5,Se,46.875,ODE,5.015,OLA,5.605,TOP,13.864,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,7.38,8.22,sphere,3964,0.215517241
